"DateTime","BTC Volatility Index (DVOL)"
"2021-03-24 00:00:00",80.52
"2021-03-25 00:00:00",87.25
"2021-03-26 00:00:00",80.22
"2021-03-27 00:00:00",77.81
"2021-03-28 00:00:00",78.2
"2021-03-29 00:00:00",78.88
"2021-03-30 00:00:00",82
"2021-03-31 00:00:00",83.74
"2021-04-01 00:00:00",81.2
"2021-04-02 00:00:00",78.59
"2021-04-03 00:00:00",80.55
"2021-04-04 00:00:00",79.7
"2021-04-05 00:00:00",78.73
"2021-04-06 00:00:00",79.67
"2021-04-07 00:00:00",78.36
"2021-04-08 00:00:00",72.79
"2021-04-09 00:00:00",72.19
"2021-04-10 00:00:00",76.93
"2021-04-11 00:00:00",79.38
"2021-04-12 00:00:00",78.98
"2021-04-13 00:00:00",84.46
"2021-04-14 00:00:00",83.41
"2021-04-15 00:00:00",76.12
"2021-04-16 00:00:00",74.98
"2021-04-17 00:00:00",72.89
"2021-04-18 00:00:00",74.27
"2021-04-19 00:00:00",82.29
"2021-04-20 00:00:00",80.79
"2021-04-21 00:00:00",80.11
"2021-04-22 00:00:00",76.69
"2021-04-23 00:00:00",87.39
"2021-04-24 00:00:00",85.95
"2021-04-25 00:00:00",91.15
"2021-04-26 00:00:00",80.3
"2021-04-27 00:00:00",74.21
"2021-04-28 00:00:00",75.52
"2021-04-29 00:00:00",75.8
"2021-04-30 00:00:00",73.95
"2021-05-01 00:00:00",73.64
"2021-05-02 00:00:00",74.93
"2021-05-03 00:00:00",75.18
"2021-05-04 00:00:00",81.79
"2021-05-05 00:00:00",83.51
"2021-05-06 00:00:00",80.31
"2021-05-07 00:00:00",78.3
"2021-05-08 00:00:00",79.23
"2021-05-09 00:00:00",83.57
"2021-05-10 00:00:00",85.67
"2021-05-11 00:00:00",84.91
"2021-05-12 00:00:00",82.91
"2021-05-13 00:00:00",89.19
"2021-05-14 00:00:00",90.37
"2021-05-15 00:00:00",97.57
"2021-05-16 00:00:00",97.97
"2021-05-17 00:00:00",104.94
"2021-05-18 00:00:00",112.83
"2021-05-19 00:00:00",115.28
"2021-05-20 00:00:00",112.56
"2021-05-21 00:00:00",112.2
"2021-05-22 00:00:00",135.44
"2021-05-23 00:00:00",138.11
"2021-05-24 00:00:00",121.77
"2021-05-25 00:00:00",124.43
"2021-05-26 00:00:00",116.69
"2021-05-27 00:00:00",106.59
"2021-05-28 00:00:00",107.25
"2021-05-29 00:00:00",119.43
"2021-05-30 00:00:00",123.07
"2021-05-31 00:00:00",106.4
"2021-06-01 00:00:00",105.36
"2021-06-02 00:00:00",101.89
"2021-06-03 00:00:00",97.28
"2021-06-04 00:00:00",99.07
"2021-06-05 00:00:00",102.67
"2021-06-06 00:00:00",104.86
"2021-06-07 00:00:00",99.89
"2021-06-08 00:00:00",107.37
"2021-06-09 00:00:00",105.08
"2021-06-10 00:00:00",98.95
"2021-06-11 00:00:00",95.96
"2021-06-12 00:00:00",97.19
"2021-06-13 00:00:00",97.25
"2021-06-14 00:00:00",96.73
"2021-06-15 00:00:00",95.83
"2021-06-16 00:00:00",92.97
"2021-06-17 00:00:00",92.08
"2021-06-18 00:00:00",94.1
"2021-06-19 00:00:00",89.88
"2021-06-20 00:00:00",90.35
"2021-06-21 00:00:00",94.1
"2021-06-22 00:00:00",105.11
"2021-06-23 00:00:00",99.01
"2021-06-24 00:00:00",99.21
"2021-06-25 00:00:00",97.11
"2021-06-26 00:00:00",104.15
"2021-06-27 00:00:00",103.38
"2021-06-28 00:00:00",103.85
"2021-06-29 00:00:00",98.06
"2021-06-30 00:00:00",98.79
"2021-07-01 00:00:00",101.96
"2021-07-02 00:00:00",98.72
"2021-07-03 00:00:00",96.5
"2021-07-04 00:00:00",95.77
"2021-07-05 00:00:00",94.84
